	GSM1194697	GSM1194698	GSM1194699
A1BG	218	229	68
A1CF	13	8	14
A2M	344	1048	387
A2ML1	51	30	32
ENSG00000256069	0	0	0
A3GALT2	0	0	0
A4GALT	294	240	79
A4GNT	0	0	0
AAAS	224	18	2
AACS	494	284	333
ENSG00000250420	8	0	4
AADAC	95	65	37
ENSG00000261846	338	203	369
AADACL3	7	4	9
AADACL4	0	0	0
ENSG00000240602	232	324	84
AADAT	47	87	100
AAGAB	366	480	193
AAK1	2383	1821	1593
AAMDC	199	151	74
AAMP	104	160	91
AANAT	1	1	11
AAR2	513	114	112
AARD	60	69	32
AARS2	103	193	88
AARSD1	43	39	41
AASDH	134	55	149
AASDHPPT	383	411	126
AASS	118	18	144
ENSG00000276072	136	32	40
AATK	0	0	0
ABAT	284	343	58
ABCA1	732	1031	917
ABCA10	42	0	8
ENSG00000251595	12	0	0
ABCA12	1671	1882	549
ABCA13	9275	8212	5876
ENSG00000238098	12	0	1
ABCA2	24	6	9
ABCA3	57	74	4
ABCA4	22	19	5
ABCA5	353	303	357
ABCA6	64	60	60
ABCA7	230	23	183
ABCA8	31	40	25
ABCA9	134	96	88
ABCB1	0	0	0
ABCB10	226	176	33
ENSG00000281173	0	0	0
ENSG00000282479	0	0	0
ENSG00000274192	0	0	0
ENSG00000276582	11	0	0
ABCB4	20	1	0
ABCB5	41	64	22
ABCB6	131	91	127
ABCB7	132	652	61
ABCB8	83	71	46
ABCB9	162	157	47
ENSG00000278183	2502	2337	1463
ABCC10	323	120	143
ABCC11	29	227	12
ABCC12	0	0	0
ENSG00000243064	26	10	15
ABCC2	270	167	7
ABCC3	1205	521	254
ABCC4	313	48	225
ABCC5	2333	1014	827
ENSG00000275331	110	78	77
ENSG00000256340	14	0	0
ENSG00000273808	14	2	0
ABCC8	0	0	0
ABCC9	789	878	268
ABCD1	70	7	21
ENSG00000288143	0	0	0
ENSG00000261233	0	0	0
ENSG00000225293	1	0	0
ENSG00000214330	0	0	0
ABCD2	0	0	0
ABCD3	551	391	142
ABCD4	357	1320	423
ABCE1	951	1261	222
ENSG00000236149	705	726	336
ABCF2	782	266	392
ENSG00000242159	0	1	0
ENSG00000228769	0	0	0
ABCF3	612	797	138
ABCG1	253	158	525
ABCG2	4	0	0
ABCG4	0	0	0
ABCG5	9	14	5
ABCG8	0	0	0
ABHD1	73	92	73
ABHD10	216	338	234
ABHD11	789	1455	308
ABHD12	390	286	94
ABHD12B	98	139	109
ABHD13	146	129	24
ABHD14A	235	38	317
ABHD14A-ACY1	0	0	0
ABHD14B	234	11	74
ABHD15	142	41	25
ENSG00000231488	157	386	168
ABHD16B	0	0	0
ABHD17A	151	92	13
ENSG00000198658	5	0	0
ENSG00000250536	0	0	0
ENSG00000229107	0	0	0
ENSG00000263366	0	0	0
ENSG00000226981	10	0	0
ENSG00000260864	0	0	0
ENSG00000260540	0	0	0
ENSG00000261536	0	0	0
ABHD17B	47	89	294
ABHD17C	1167	1590	648
ABHD18	458	217	349
ABHD2	9278	9116	2598
ABHD3	210	155	34
ABHD4	500	239	99
ABHD5	128	57	148
ABHD6	3	13	2
ABHD8	29	0	0
ABI1	1553	3387	821
ABI2	1607	1568	786
ABI3	39	21	47
ABI3BP	88	164	97
ABL1	442	98	130
ABL2	1243	1659	601
ABLIM1	4984	3808	2097
ABLIM2	4	12	0
ABLIM3	166	205	6
ENSG00000281879	69	219	12
ENSG00000276016	979	545	290
ABRA	9	0	19
ABRACL	25	33	15
ABT1	258	144	132
ENSG00000250496	27	0	1
ABTB1	61	67	5
ABTB2	216	135	86
ACAA1	75	40	42
ACAA2	99	399	39
ENSG00000275176	1075	330	294
ACACB	294	155	195
ACAD10	221	125	79
ACAD11	311	90	44
ACAD8	309	105	107
ACAD9	374	208	240
ACADL	8	0	16
ACADM	157	203	52
ACADS	14	121	2
ACADSB	267	179	183
ACADVL	1322	1239	1226
ACAN	7	19	7
ENSG00000288169	75	53	68
ACAP2	2711	1947	1150
ACAP3	73	26	24
ACAT1	142	89	96
ACAT2	189	151	82
ACBD3	794	1019	707
ACBD4	20	9	38
ACBD5	669	465	293
ACBD6	201	174	91
ACBD7	113	66	61
ACCS	64	143	6
ACCSL	0	0	0
ACD	10	0	3
ACE	76	11	28
ACE2	78	0	1
ENSG00000224353	0	0	0
ACER1	4	17	4
ACER2	52	16	33
ACER3	829	926	396
ACHE	2	0	0
ACIN1	1436	959	655
ACKR1	0	0	0
ACKR2	57	110	71
ACKR3	263	671	221
ACKR4	2	0	4
ACLY	514	355	138
ACMSD	7	0	0
ACO1	411	691	457
ACO2	435	183	176
ACOD1	0	0	0
ACOT1	0	89	0
ACOT11	680	659	405
ACOT12	0	0	0
ACOT13	276	660	235
ACOT2	143	153	36
ACOT4	35	6	26
ACOT6	0	0	0
ACOT7	509	783	74
ACOT8	34	2	35
ACOT9	330	473	119
ACOX1	2686	3429	2021
